bench,seq_len,head_dim,heads,batch,fused_ms,baseline_ms,speedup,tokens_per_s,baseline_tokens_per_s,l2_diff,perplexity_delta,scratch_bytes,baseline_scratch_bytes,scratch_ratio,tile_tokens,acc_width,has_avx2,has_vnni,csr_outliers,l2_bytes_per_token
attn_decode_int8_qk,4096,64,32,8,76.5966,122.505,1.59935,1.36896e+07,8.55948e+06,0.000868653,0,33280,98304,0.338542,256,fp32,1,0,0,0.0317383
attn_decode_fp16,4096,64,32,8,122.505,122.505,1,8.55948e+06,8.55948e+06,0.000868653,0,98304,98304,1,256,fp32,1,0,0,0.09375
attn_decode_int8_qk,1024,128,32,1,3.4766,7.51194,2.16072,9.4253e+06,4.36212e+06,0.00388197,0,9216,24576,0.375,128,fp32,1,0,0,0.28125
attn_decode_fp16,1024,128,32,1,7.51194,7.51194,1,4.36212e+06,4.36212e+06,0.00388197,0,24576,24576,1,128,fp32,1,0,0,0.75
attn_decode_int8_qk,1024,128,32,4,13.7426,30.1514,2.19401,9.53767e+06,4.34713e+06,0.00226777,0,9216,73728,0.125,128,fp32,1,0,0,0.0703125
attn_decode_fp16,1024,128,32,4,30.1514,30.1514,1,4.34713e+06,4.34713e+06,0.00226777,0,73728,73728,1,128,fp32,1,0,0,0.5625
attn_decode_int8_qk,1024,128,32,8,27.59,60.3656,2.18796,9.50143e+06,4.3426e+06,0.00148373,0,9216,139264,0.0661765,128,fp32,1,0,0,0.0351562
attn_decode_fp16,1024,128,32,8,60.3656,60.3656,1,4.3426e+06,4.3426e+06,0.00148373,0,139264,139264,1,128,fp32,1,0,0,0.53125
attn_decode_int8_qk,2048,128,32,1,6.88337,15.0829,2.19121,9.52092e+06,4.34505e+06,0.00427933,0,17408,32768,0.53125,128,fp32,1,0,0,0.265625
attn_decode_fp16,2048,128,32,1,15.0829,15.0829,1,4.34505e+06,4.34505e+06,0.00427933,0,32768,32768,1,128,fp32,1,0,0,0.5
attn_decode_int8_qk,2048,128,32,4,27.8959,60.1638,2.15673,9.39723e+06,4.35717e+06,0.00204365,0,17408,81920,0.2125,128,fp32,1,0,0,0.0664062
attn_decode_fp16,2048,128,32,4,60.1638,60.1638,1,4.35717e+06,4.35717e+06,0.00204365,0,81920,81920,1,128,fp32,1,0,0,0.3125
attn_decode_int8_qk,2048,128,32,8,55.5637,120.757,2.1733,9.4358e+06,4.34169e+06,0.00144971,0,17408,147456,0.118056,128,fp32,1,0,0,0.0332031
attn_decode_fp16,2048,128,32,8,120.757,120.757,1,4.34169e+06,4.34169e+06,0.00144971,0,147456,147456,1,128,fp32,1,0,0,0.28125
attn_decode_int8_qk,4096,128,32,1,13.7672,30.6048,2.22302,9.5206e+06,4.28273e+06,0.00349739,0,33792,49152,0.6875,128,fp32,1,0,0,0.257812
attn_decode_fp16,4096,128,32,1,30.6048,30.6048,1,4.28273e+06,4.28273e+06,0.00349739,0,49152,49152,1,128,fp32,1,0,0,0.375
attn_decode_int8_qk,4096,128,32,4,55.1956,121.12,2.19437,9.49873e+06,4.32868e+06,0.0018432,0,33792,98304,0.34375,128,fp32,1,0,0,0.0644531
attn_decode_fp16,4096,128,32,4,121.12,121.12,1,4.32868e+06,4.32868e+06,0.0018432,0,98304,98304,1,128,fp32,1,0,0,0.1875
attn_decode_int8_qk,4096,128,32,8,110.14,243.465,2.2105,9.52038e+06,4.30689e+06,0.00130734,0,33792,163840,0.20625,128,fp32,1,0,0,0.0322266
attn_decode_fp16,4096,128,32,8,243.465,243.465,1,4.30689e+06,4.30689e+06,0.00130734,0,163840,163840,1,128,fp32,1,0,0,0.15625
attn_decode_int8_qk,1024,64,64,1,4.78619,7.63266,1.59473,1.36927e+07,8.58626e+06,0.00250322,0,8704,24576,0.354167,256,fp32,1,0,0,0.132812
attn_decode_fp16,1024,64,64,1,7.63266,7.63266,1,8.58626e+06,8.58626e+06,0.00250322,0,24576,24576,1,256,fp32,1,0,0,0.375
attn_decode_int8_qk,1024,64,64,4,19.2457,30.651,1.59262,1.36209e+07,8.55254e+06,0.00119911,0,8704,73728,0.118056,256,fp32,1,0,0,0.0332031
attn_decode_fp16,1024,64,64,4,30.651,30.651,1,8.55254e+06,8.55254e+06,0.00119911,0,73728,73728,1,256,fp32,1,0,0,0.28125
attn_decode_int8_qk,1024,64,64,8,38.3241,61.3223,1.6001,1.36804e+07,8.54971e+06,0.000881562,0,8704,139264,0.0625,256,fp32,1,0,0,0.0166016
attn_decode_fp16,1024,64,64,8,61.3223,61.3223,1,8.54971e+06,8.54971e+06,0.000881562,0,139264,139264,1,256,fp32,1,0,0,0.265625
attn_decode_int8_qk,2048,64,64,1,9.55734,15.2545,1.59611,1.37143e+07,8.59234e+06,0.00175864,0,16896,32768,0.515625,256,fp32,1,0,0,0.128906
attn_decode_fp16,2048,64,64,1,15.2545,15.2545,1,8.59234e+06,8.59234e+06,0.00175864,0,32768,32768,1,256,fp32,1,0,0,0.25
attn_decode_int8_qk,2048,64,64,4,38.0662,61.1564,1.60658,1.37731e+07,8.57291e+06,0.00107669,0,16896,81920,0.20625,256,fp32,1,0,0,0.0322266
attn_decode_fp16,2048,64,64,4,61.1564,61.1564,1,8.57291e+06,8.57291e+06,0.00107669,0,81920,81920,1,256,fp32,1,0,0,0.15625
attn_decode_int8_qk,2048,64,64,8,76.0959,122.364,1.60803,1.37797e+07,8.56929e+06,0.000703291,0,16896,147456,0.114583,256,fp32,1,0,0,0.0161133
attn_decode_fp16,2048,64,64,8,122.364,122.364,1,8.56929e+06,8.56929e+06,0.000703291,0,147456,147456,1,256,fp32,1,0,0,0.140625
attn_decode_int8_qk,4096,64,64,1,19.1425,30.6985,1.60368,1.36943e+07,8.53931e+06,0.00167489,0,33280,49152,0.677083,256,fp32,1,0,0,0.126953
attn_decode_fp16,4096,64,64,1,30.6985,30.6985,1,8.53931e+06,8.53931e+06,0.00167489,0,49152,49152,1,256,fp32,1,0,0,0.1875
attn_decode_int8_qk,4096,64,64,4,76.8155,122.402,1.59346,1.36506e+07,8.56663e+06,0.000865898,0,33280,98304,0.338542,256,fp32,1,0,0,0.0317383
attn_decode_fp16,4096,64,64,4,122.402,122.402,1,8.56663e+06,8.56663e+06,0.000865898,0,98304,98304,1,256,fp32,1,0,0,0.09375
attn_decode_int8_qk,4096,64,64,8,153.43,245.82,1.60216,1.36685e+07,8.53125e+06,0.000609884,0,33280,163840,0.203125,256,fp32,1,0,0,0.0158691
attn_decode_fp16,4096,64,64,8,245.82,245.82,1,8.53125e+06,8.53125e+06,0.000609884,0,163840,163840,1,256,fp32,1,0,0,0.078125
attn_decode_int8_qk,1024,128,64,1,6.88023,15.0114,2.18182,9.52526e+06,4.36575e+06,0.0033417,0,9216,40960,0.225,128,fp32,1,0,0,0.140625
attn_decode_fp16,1024,128,64,1,15.0114,15.0114,1,4.36575e+06,4.36575e+06,0.0033417,0,40960,40960,1,128,fp32,1,0,0,0.625
attn_decode_int8_qk,1024,128,64,4,27.3386,60.2698,2.20457,9.5888e+06,4.34951e+06,0.00159774,0,9216,139264,0.0661765,128,fp32,1,0,0,0.0351562
attn_decode_fp16,1024,128,64,4,60.2698,60.2698,1,4.34951e+06,4.34951e+06,0.00159774,0,139264,139264,1,128,fp32,1,0,0,0.53125
attn_decode_int8_qk,1024,128,64,8,54.9809,120.917,2.19926,9.53583e+06,4.33593e+06,0.00107925,0,9216,270336,0.0340909,128,fp32,1,0,0,0.0175781
attn_decode_fp16,1024,128,64,8,120.917,120.917,1,4.33593e+06,4.33593e+06,0.00107925,0,270336,270336,1,128,fp32,1,0,0,0.515625
attn_decode_int8_qk,2048,128,64,1,13.7668,30.0396,2.18203,9.52086e+06,4.36331e+06,0.00282378,0,17408,49152,0.354167,128,fp32,1,0,0,0.132812
attn_decode_fp16,2048,128,64,1,30.0396,30.0396,1,4.36331e+06,4.36331e+06,0.00282378,0,49152,49152,1,128,fp32,1,0,0,0.375
attn_decode_int8_qk,2048,128,64,4,55.2903,121.116,2.19054,9.48247e+06,4.32882e+06,0.00139853,0,17408,147456,0.118056,128,fp32,1,0,0,0.0332031
attn_decode_fp16,2048,128,64,4,121.116,121.116,1,4.32882e+06,4.32882e+06,0.00139853,0,147456,147456,1,128,fp32,1,0,0,0.28125
attn_decode_int8_qk,2048,128,64,8,110.941,241.272,2.17478,9.45165e+06,4.34602e+06,0.000980312,0,17408,278528,0.0625,128,fp32,1,0,0,0.0166016
attn_decode_fp16,2048,128,64,8,241.272,241.272,1,4.34602e+06,4.34602e+06,0.000980312,0,278528,278528,1,128,fp32,1,0,0,0.265625
attn_decode_int8_qk,4096,128,64,1,27.4629,60.4954,2.2028,9.54538e+06,4.33329e+06,0.00278142,0,33792,65536,0.515625,128,fp32,1,0,0,0.128906
attn_decode_fp16,4096,128,64,1,60.4954,60.4954,1,4.33329e+06,4.33329e+06,0.00278142,0,65536,65536,1,128,fp32,1,0,0,0.25
attn_decode_int8_qk,4096,128,64,4,109.885,242.75,2.20913,9.54252e+06,4.31958e+06,0.00122371,0,33792,163840,0.20625,128,fp32,1,0,0,0.0322266
attn_decode_fp16,4096,128,64,4,242.75,242.75,1,4.31958e+06,4.31958e+06,0.00122371,0,163840,163840,1,128,fp32,1,0,0,0.15625
attn_decode_int8_qk,4096,128,64,8,220.663,486.057,2.20271,9.50385e+06,4.31462e+06,0.000920449,0,33792,294912,0.114583,128,fp32,1,0,0,0.0161133
attn_decode_fp16,4096,128,64,8,486.057,486.057,1,4.31462e+06,4.31462e+06,0.000920449,0,294912,294912,1,128,fp32,1,0,0,0.140625
